Year,Season,latitude,longitude,Hujan
1985,AMJ,-9.25,122.25,76.92307692307693
1985,AMJ,-9.25,122.5,80.21978021978022
1985,AMJ,-9.25,122.75,68.13186813186813
1985,AMJ,-9.25,123.0,64.83516483516483
1985,AMJ,-9.25,123.25,59.34065934065934
1985,AMJ,-9.25,123.5,47.25274725274725
1985,AMJ,-9.25,123.75,37.362637362637365
1985,AMJ,-9.25,124.0,40.65934065934066
1985,AMJ,-9.25,124.25,25.274725274725274
1985,AMJ,-9.25,124.5,54.94505494505495
1985,AMJ,-9.25,124.75,73.62637362637363
1985,AMJ,-9.25,125.0,76.92307692307693
1985,AMJ,-9.25,125.25,81.31868131868131
1985,AMJ,-9.25,125.5,80.21978021978022
1985,AMJ,-9.0,118.0,85.71428571428571
1985,AMJ,-9.0,118.25,76.92307692307693
1985,AMJ,-9.0,118.5,74.72527472527473
1985,AMJ,-9.0,118.75,69.23076923076923
1985,AMJ,-9.0,119.0,70.32967032967034
1985,AMJ,-9.0,119.25,58.24175824175825
1985,AMJ,-9.0,119.5,59.34065934065934
1985,AMJ,-9.0,119.75,67.03296703296702
1985,AMJ,-9.0,120.0,80.21978021978022
1985,AMJ,-9.0,120.25,90.10989010989012
1985,AMJ,-9.0,120.5,89.01098901098901
1985,AMJ,-9.0,120.75,83.51648351648352
1985,AMJ,-9.0,121.0,81.31868131868131
1985,AMJ,-9.0,121.25,83.51648351648352
1985,AMJ,-9.0,121.5,81.31868131868131
1985,AMJ,-9.0,121.75,84.61538461538461
1985,AMJ,-9.0,122.0,82.41758241758241
1985,AMJ,-9.0,122.25,87.91208791208791
1985,AMJ,-9.0,122.5,83.51648351648352
1985,AMJ,-9.0,122.75,70.32967032967034
1985,AMJ,-9.0,123.0,64.83516483516483
1985,AMJ,-9.0,123.25,56.043956043956044
1985,AMJ,-9.0,123.5,49.45054945054945
1985,AMJ,-9.0,123.75,34.065934065934066
1985,AMJ,-9.0,124.0,38.46153846153847
1985,AMJ,-9.0,124.25,29.67032967032967
1985,AMJ,-9.0,124.5,59.34065934065934
1985,AMJ,-9.0,124.75,53.84615384615385
1985,AMJ,-9.0,125.0,56.043956043956044
1985,AMJ,-9.0,125.25,69.23076923076923
1985,AMJ,-9.0,125.5,72.52747252747253
1985,AMJ,-8.75,118.0,92.3076923076923
1985,AMJ,-8.75,118.25,76.92307692307693
1985,AMJ,-8.75,118.5,75.82417582417582
1985,AMJ,-8.75,118.75,83.51648351648352
1985,AMJ,-8.75,119.0,80.21978021978022
1985,AMJ,-8.75,119.25,69.23076923076923
1985,AMJ,-8.75,119.5,56.043956043956044
1985,AMJ,-8.75,119.75,58.24175824175825
1985,AMJ,-8.75,120.0,64.83516483516483
1985,AMJ,-8.75,120.25,85.71428571428571
1985,AMJ,-8.75,120.5,91.20879120879121
1985,AMJ,-8.75,120.75,73.62637362637363
1985,AMJ,-8.75,121.0,65.93406593406593
1985,AMJ,-8.75,121.25,68.13186813186813
1985,AMJ,-8.75,121.5,73.62637362637363
1985,AMJ,-8.75,121.75,81.31868131868131
1985,AMJ,-8.75,122.0,84.61538461538461
1985,AMJ,-8.75,122.25,80.21978021978022
1985,AMJ,-8.75,122.5,70.32967032967034
1985,AMJ,-8.75,122.75,63.73626373626373
1985,AMJ,-8.75,123.0,62.637362637362635
1985,AMJ,-8.75,123.25,60.43956043956044
1985,AMJ,-8.75,123.5,57.14285714285714
1985,AMJ,-8.75,123.75,52.74725274725275
1985,AMJ,-8.75,124.0,49.45054945054945
1985,AMJ,-8.75,124.25,46.15384615384615
1985,AMJ,-8.75,124.5,48.35164835164835
1985,AMJ,-8.75,124.75,49.45054945054945
1985,AMJ,-8.75,125.0,65.93406593406593
1985,AMJ,-8.75,125.25,68.13186813186813
1985,AMJ,-8.75,125.5,60.43956043956044
1985,AMJ,-8.5,118.0,84.61538461538461
1985,AMJ,-8.5,118.25,70.32967032967034
1985,AMJ,-8.5,118.5,63.73626373626373
1985,AMJ,-8.5,118.75,81.31868131868131
1985,AMJ,-8.5,119.0,78.02197802197803
1985,AMJ,-8.5,119.25,71.42857142857143
1985,AMJ,-8.5,119.5,51.64835164835166
1985,AMJ,-8.5,119.75,49.45054945054945
1985,AMJ,-8.5,120.0,49.45054945054945
1985,AMJ,-8.5,120.25,53.84615384615385
1985,AMJ,-8.5,120.5,64.83516483516483
1985,AMJ,-8.5,120.75,65.93406593406593
1985,AMJ,-8.5,121.0,52.74725274725275
1985,AMJ,-8.5,121.25,48.35164835164835
1985,AMJ,-8.5,121.5,60.43956043956044
1985,AMJ,-8.5,121.75,76.92307692307693
1985,AMJ,-8.5,122.0,78.02197802197803
1985,AMJ,-8.5,122.25,70.32967032967034
1985,AMJ,-8.5,122.5,75.82417582417582
1985,AMJ,-8.5,122.75,72.52747252747253
1985,AMJ,-8.5,123.0,73.62637362637363
1985,AMJ,-8.5,123.25,72.52747252747253
1985,AMJ,-8.5,123.5,58.24175824175825
1985,AMJ,-8.5,123.75,59.34065934065934
1985,AMJ,-8.5,124.0,61.53846153846154
1985,AMJ,-8.5,124.25,74.72527472527473
1985,AMJ,-8.5,124.5,76.92307692307693
1985,AMJ,-8.5,124.75,89.01098901098901
1985,AMJ,-8.5,125.0,87.91208791208791
1985,AMJ,-8.5,125.25,64.83516483516483
1985,AMJ,-8.5,125.5,49.45054945054945
1985,AMJ,-8.25,118.0,62.637362637362635
1985,AMJ,-8.25,118.25,60.43956043956044
1985,AMJ,-8.25,118.5,64.83516483516483
1985,AMJ,-8.25,118.75,72.52747252747253
1985,AMJ,-8.25,119.0,65.93406593406593
1985,AMJ,-8.25,119.25,63.73626373626373
1985,AMJ,-8.25,119.5,59.34065934065934
1985,AMJ,-8.25,119.75,56.043956043956044
1985,AMJ,-8.25,120.0,60.43956043956044
1985,AMJ,-8.25,120.25,54.94505494505495
1985,AMJ,-8.25,120.5,61.53846153846154
1985,AMJ,-8.25,120.75,71.42857142857143
1985,AMJ,-8.25,121.0,56.043956043956044
1985,AMJ,-8.25,121.25,50.54945054945055
1985,AMJ,-8.25,121.5,54.94505494505495
1985,AMJ,-8.25,121.75,60.43956043956044
1985,AMJ,-8.25,122.0,58.24175824175825
1985,AMJ,-8.25,122.25,60.43956043956044
1985,AMJ,-8.25,122.5,63.73626373626373
1985,AMJ,-8.25,122.75,62.637362637362635
1985,AMJ,-8.25,123.0,71.42857142857143
1985,AMJ,-8.25,123.25,70.32967032967034
1985,AMJ,-8.25,123.5,59.34065934065934
1985,AMJ,-8.25,123.75,54.94505494505495
1985,AMJ,-8.25,124.0,70.32967032967034
1985,AMJ,-8.25,124.25,75.82417582417582
1985,AMJ,-8.25,124.5,95.6043956043956
1985,AMJ,-8.25,124.75,95.6043956043956
1985,AMJ,-8.25,125.0,93.4065934065934
1985,AMJ,-8.25,125.25,69.23076923076923
1985,AMJ,-8.25,125.5,57.14285714285714
1985,AMJ,-8.0,118.0,54.94505494505495
1985,AMJ,-8.0,118.25,54.94505494505495
1985,AMJ,-8.0,118.5,73.62637362637363
1985,AMJ,-8.0,118.75,70.32967032967034
1985,AMJ,-8.0,119.0,67.03296703296702
1985,AMJ,-8.0,119.25,68.13186813186813
1985,AMJ,-8.0,119.5,65.93406593406593
1985,AMJ,-8.0,119.75,64.83516483516483
1985,AMJ,-8.0,120.0,63.73626373626373
1985,AMJ,-8.0,120.25,68.13186813186813
1985,AMJ,-8.0,120.5,67.03296703296702
1985,AMJ,-8.0,120.75,58.24175824175825
1985,AMJ,-8.0,121.0,57.14285714285714
1985,AMJ,-8.0,121.25,62.637362637362635
1985,AMJ,-8.0,121.5,62.637362637362635
1985,AMJ,-8.0,121.75,63.73626373626373
1985,AMJ,-8.0,122.0,65.93406593406593
1985,AMJ,-8.0,122.25,65.93406593406593
1985,AMJ,-8.0,122.5,59.34065934065934
1985,AMJ,-8.0,122.75,54.94505494505495
1985,AMJ,-8.0,123.0,62.637362637362635
1985,AMJ,-8.0,123.25,63.73626373626373
1985,AMJ,-8.0,123.5,65.93406593406593
1985,AMJ,-8.0,123.75,59.34065934065934
1985,AMJ,-8.0,124.0,61.53846153846154
1985,AMJ,-8.0,124.25,67.03296703296702
1985,AMJ,-8.0,124.5,78.02197802197803
1985,AMJ,-8.0,124.75,79.12087912087912
1985,AMJ,-8.0,125.0,79.12087912087912
1985,AMJ,-8.0,125.25,63.73626373626373
1985,AMJ,-8.0,125.5,57.14285714285714
1985,JAS,-11.5,118.0,35.869565217391305
1985,JAS,-11.5,118.25,35.869565217391305
1985,JAS,-11.5,118.5,34.78260869565217
1985,JAS,-11.5,118.75,30.434782608695656
1985,JAS,-11.5,119.0,27.173913043478258
1985,JAS,-11.5,119.25,26.08695652173913
1985,JAS,-11.5,119.5,28.26086956521739
1985,JAS,-11.5,119.75,25.0
1985,JAS,-11.5,120.0,29.347826086956523
1985,JAS,-11.5,120.25,31.521739130434785
1985,JAS,-11.5,120.5,31.521739130434785
1985,JAS,-11.5,120.75,29.347826086956523
1985,JAS,-11.5,121.0,29.347826086956523
1985,JAS,-11.5,121.25,31.521739130434785
1985,JAS,-11.5,121.5,30.434782608695656
1985,JAS,-11.5,121.75,27.173913043478258
1985,JAS,-11.5,122.0,23.91304347826087
1985,JAS,-11.5,122.25,23.91304347826087
1985,JAS,-11.5,122.5,14.130434782608695
1985,JAS,-11.5,122.75,15.217391304347828
1985,JAS,-11.5,123.0,15.217391304347828
1985,JAS,-11.5,123.25,17.391304347826086
1985,JAS,-11.5,123.5,16.304347826086957
1985,JAS,-11.5,123.75,15.217391304347828
1985,JAS,-11.5,124.0,17.391304347826086
1985,JAS,-11.5,124.25,17.391304347826086
1985,JAS,-11.5,124.5,13.043478260869565
1985,JAS,-11.5,124.75,11.956521739130435
1985,JAS,-11.5,125.0,10.869565217391305
1985,JAS,-11.5,125.25,11.956521739130435
1985,JAS,-11.5,125.5,7.608695652173914
1985,JAS,-11.25,118.0,36.95652173913043
1985,JAS,-11.25,118.25,36.95652173913043
1985,JAS,-11.25,118.5,32.608695652173914
1985,JAS,-11.25,118.75,29.347826086956523
1985,JAS,-11.25,119.0,28.26086956521739
1985,JAS,-11.25,119.25,30.434782608695656
1985,JAS,-11.25,119.5,32.608695652173914
1985,JAS,-11.25,119.75,26.08695652173913
1985,JAS,-11.25,120.0,30.434782608695656
1985,JAS,-11.25,120.25,30.434782608695656
1985,JAS,-11.25,120.5,34.78260869565217
1985,JAS,-11.25,120.75,34.78260869565217
1985,JAS,-11.25,121.0,34.78260869565217
1985,JAS,-11.25,121.25,34.78260869565217
1985,JAS,-11.25,121.5,31.521739130434785
1985,JAS,-11.25,121.75,30.434782608695656
1985,JAS,-11.25,122.0,23.91304347826087
1985,JAS,-11.25,122.25,25.0
1985,JAS,-11.25,122.5,17.391304347826086
1985,JAS,-11.25,122.75,17.391304347826086
1985,JAS,-11.25,123.0,23.91304347826087
1985,JAS,-11.25,123.25,20.652173913043477
1985,JAS,-11.25,123.5,18.478260869565215
1985,JAS,-11.25,123.75,15.217391304347828
1985,JAS,-11.25,124.0,17.391304347826086
1985,JAS,-11.25,124.25,17.391304347826086
1985,JAS,-11.25,124.5,15.217391304347828
1985,JAS,-11.25,124.75,10.869565217391305
1985,JAS,-11.25,125.0,10.869565217391305
1985,JAS,-11.25,125.25,14.130434782608695
1985,JAS,-11.25,125.5,8.695652173913043
1985,JAS,-11.0,118.0,39.130434782608695
1985,JAS,-11.0,118.25,35.869565217391305
1985,JAS,-11.0,118.5,35.869565217391305
1985,JAS,-11.0,118.75,30.434782608695656
1985,JAS,-11.0,119.0,30.434782608695656
1985,JAS,-11.0,119.25,30.434782608695656
1985,JAS,-11.0,119.5,31.521739130434785
1985,JAS,-11.0,119.75,35.869565217391305
1985,JAS,-11.0,120.0,40.21739130434783
1985,JAS,-11.0,120.25,42.391304347826086
1985,JAS,-11.0,120.5,42.391304347826086
1985,JAS,-11.0,120.75,40.21739130434783
1985,JAS,-11.0,121.0,33.69565217391305
1985,JAS,-11.0,121.25,29.347826086956523
1985,JAS,-11.0,121.5,31.521739130434785
1985,JAS,-11.0,121.75,27.173913043478258
1985,JAS,-11.0,122.0,25.0
1985,JAS,-11.0,122.25,23.91304347826087
1985,JAS,-11.0,122.5,17.391304347826086
1985,JAS,-11.0,122.75,21.73913043478261
1985,JAS,-11.0,123.0,23.91304347826087
1985,JAS,-11.0,123.25,28.26086956521739
1985,JAS,-11.0,123.5,28.26086956521739
1985,JAS,-11.0,123.75,25.0
1985,JAS,-11.0,124.0,21.73913043478261
1985,JAS,-11.0,124.25,21.73913043478261
1985,JAS,-11.0,124.5,19.565217391304348
1985,JAS,-11.0,124.75,16.304347826086957
1985,JAS,-11.0,125.0,8.695652173913043
1985,JAS,-11.0,125.25,10.869565217391305
1985,JAS,-11.0,125.5,13.043478260869565
1985,JAS,-10.75,118.0,38.04347826086957
1985,JAS,-10.75,118.25,36.95652173913043
